,obm_datum,location_start,survey_station_code,location_end,basin,river,date,time_start,time_end,team,site_length,site_width,area_surface,depth_mean,depth_max,covering,shading,meander,electrofisher_type,type_of_electrofishing,water_level,land_use_right,rb_fine_sediment,rb_sand,rb_gravel,rb_stone,rb_large_stone,rb_concrete,rb_clay,lu_right_bank,lu_left_bank,lbv_grasses,lbv_wood,lbv_stone,lbv_concrete,rbv_grasses,rbv_wood,rbv_stone,rbv_concrete,ws_rapid,ws_medium,ws_slow,ws_stagnant,transparency,naturalness,date_of_modification,ph,conductivity,tds,disolved_oxygen_proc,disolved_oxygen_mgl,temperature,site_width_max,lbv_bushes,rbv_bushes,altitude,water_type,etrs10,sci,bazin,bazin_code,bazin2_ccm2,geometry x,geometry y,,
19,9/7/2018 0:00,Hortobagy felso T,OL18009,326,Olt,Hartibaciu,NA,490,NA,"Nagy András Attila, Kelemen Alpár",150,5,450,50,140,0,35,1,1,wading,3,NA,50,40,10,0,0,0,0,"fűz, töltés, nádas, település","fűz, legelő",90,10,0,0,70,30,0,0,5,30,55,10,3,2,20-30 year,8.02,845,422,73,6.6,16.7,7,0,0,426.3,river,10km10kmE543N264,NA,Olt,OL,Olt,24.50236601,45.950988,c(NaN, NaN)
20,8/20/2021 1:00,Cincu AM CF Olt T,OL21009,NA,Olt,Cincu,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,80,3,80,80,200,0,40,0,0,wading,5,NA,10,20,20,0,0,20,20,"Agricultura, porumb, lucerna,cereale","Agricultura, porumb, lucerna,cereale",60,10,0,10,60,10,0,20,0,0,50,50,3,4,20-30 year,NA,NA,NA,NA,NA,NA,5,10,10,NA,river,10km10kmE546N263,NA,Olt,OL,Olt,24.84006856,45.82881388,c(NaN, NaN)
21,11/17/2021 23:00,Dejani 01T,OL21020,NA,Olt,Dejani,NA,NA,NA,"Zsigmond Miklós, Nagy András Attila",100,6,300,40,120,0,85,0,1,wading,3,NA,2,3,23,30,40,2,0,"Padure mixta, tufaris, case de vacanta","Padure mixta, tufaris",30,30,20,0,30,30,20,0,25,60,10,5,4,3,30-50 year,NA,NA,NA,NA,NA,NA,8,20,20,704.66,river,10km10kmE547N262,NA,Olt,OL,Olt,24.92088,45.674409,c(NaN, NaN)
22,6/12/2019 0:00,UCAVCA T,OL19001,NA,Olt,Ucea,NA,NA,NA,"Nagy András Attila, Kelemen Alpár",150,10,450,50,130,0,70,0,1,wading,4,NA,2,8,35,40,15,0,0,padure de foioase/mixta,padure de foioase/mixta,10,80,10,0,10,80,10,0,60,30,8,2,5,4,3-6 year,NA,NA,NA,NA,NA,NA,14,0,0,685.44,river,10km10kmE545N262,ROSCI0122: Munții Făgăraș,Olt,OL,Olt,24.70655281,45.68842323,c(NaN, NaN)
23,8/20/2021 1:00,Arpas T,OL21013,NA,Olt,Arpas,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,5,200,30,150,0,20,2,0,wading,3,NA,5,15,30,50,0,0,0,Tufăriș teren agricultură,Tufăriș teren agricultură,30,10,10,0,30,10,10,0,10,60,20,10,5,2,NA,NA,NA,NA,NA,NA,NA,8,50,50,NA,river,10km10kmE545N262,NA,Olt,OL,Olt,24.62045255,45.74161428,c(NaN, NaN)
24,8/18/2021 1:00,AM Sinca Veche T,OL21007,NA,Olt,Sinca,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,3,200,25,90,0,60,3,0,wading,3,NA,15,20,30,25,5,5,0,"Pășune, pădure","Zid beton, pădure",10,60,5,10,70,10,5,0,0,70,25,5,4,1,NA,NA,NA,NA,NA,NA,NA,7,15,15,NA,river,10km10kmE549N263,NA,Olt,OL,Olt,25.2343136,45.73756718,c(NaN, NaN)
25,11/16/2021 23:00,Sebes 02T,OL21019,NA,Olt,Sebes,NA,NA,NA,"Nagy András Attila, Zsigmond Miklós",100,5,300,15,55,0,65,0,1,wading,1,NA,2,3,15,30,50,NA,NA,"Padure mixta, aninis","Padure mixta, aninis",30,40,20,NA,30,40,20,NA,10,35,50,5,4,3,6-10 year,NA,NA,NA,NA,NA,NA,6,20,20,769.8,river,10km10kmE548N262,ROSCI0122: Munții Făgăraș,Olt,OL,Olt,25.053422,45.657489,c(NaN, NaN)
26,8/18/2021 1:00,Sercaia AN CF OLT T,OL21008,NA,Olt,Sercaia,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,3,200,40,150,0,30,1,0,wading,3,NA,15,30,30,15,0,0,10,"Pășune, copac","Pășune, copac",60,10,10,0,50,15,10,0,0,60,30,10,4,1,NA,NA,NA,NA,NA,NA,NA,8,20,25,NA,river,10km10kmE548N264,ROSCI0303: Hârtibaciu Sud - Est,Olt,OL,Olt,25.13590872,45.85000434,c(NaN, NaN)
27,8/18/2021 1:00,LL58-04 T,OL21006,NA,Olt,Valea Felmer,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,1,100,20,100,0,30,3,0,wading,2,NA,15,20,30,35,0,0,0,"Fâneață , anin","Fâneață , anin, salcie",70,15,5,0,70,15,5,0,0,5,70,25,3,1,NA,NA,NA,NA,NA,NA,NA,2,10,10,NA,oxbow,10km10kmE548N264,NA,Olt,OL,Olt,25.10937307,45.87186215,c(NaN, NaN)
28,8/18/2021 1:00,LL58-04 T,OL21006,NA,Olt,Holtág,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,150,10,100,40,150,80,20,0,0,wading,2,NA,100,0,0,0,0,0,0,"Fâneață, copac salcie","Fâneață, copac salcie",50,20,0,0,50,20,0,0,0,0,0,100,2,1,NA,NA,NA,NA,NA,NA,NA,20,30,30,NA,oxbow,10km10kmE548N264,ROSCI0303: Hârtibaciu Sud - Est,Olt,OL,Olt,25.11571381,45.86808961,c(NaN, NaN)
29,9/23/2020 0:00,Olt3Fogaras,OL20003,262,Olt,Olt,NA,960,NA,"Nagy András Attila, Kelemen Alpár",200,30,600,70,130,0,1,1,1,wading,2,NA,30,70,0,0,0,0,0,"ártér, mezőgazdasági terület","ártér, legelő",94,1,0,0,95,0,0,0,0,0,90,10,2,3,30-50 year,8.25,643,322,NA,NA,18,40,5,5,422.15,river,10km10kmE547N264,ROSCI0132: Oltul Mijlociu - Cibin - Hârtibaciu,Olt,OL,Olt,25.01390468,45.84147045,c(NaN, NaN)
30,8/18/2021 1:00,LL58-01 T,OL21005,NA,Olt,Ticuș,NA,NA,NA,Kelemen Alpár Gothárd Ferenc,110,60,200,20,100,0,75,2,0,wading,2,NA,80,5,0,0,0,0,15,"Fâneață, copac salcie","Fâneață, copac salcie",80,5,0,0,80,5,0,0,0,0,50,50,3,2,NA,NA,NA,NA,NA,NA,NA,150,15,15,NA,river,10km10kmE548N265,ROSCI0303: Hârtibaciu Sud - Est,Olt,OL,Olt,25.16626809,45.92043401,c(NaN, NaN)
31,9/23/2020 0:00,Olt4Ticusu T,OL20002,261,Olt,Olt,NA,770,NA,"Nagy András Attila, Kelemen Alpár",200,25,600,65,130,0,3,1,1,wading,2,NA,20,45,35,0,0,0,0,kiterjedt kaszálók,mezőgazdasági terület,95,5,0,0,90,0,0,0,10,50,30,10,2,3,10-20 year,8.05,642,321,NA,NA,17.2,30,0,10,436.61,river,10km10kmE549N265,ROSCI0303: Hârtibaciu Sud - Est,Olt,OL,Olt,25.20451318,45.89916376,c(NaN, NaN)
32,9/6/2018 0:00,Olt 6 nem vedett T,OL18005,323,Olt,Olt,NA,570,780,"Nagy András Attila, Kovács Attila",200,17,1000,70,130,0,1,1,1,wading,3,NA,7,30,43,20,0,0,0,"pasture, dike, deciduous forest","willow, pasture, dike, pasture",55,10,5,0,55,5,10,0,25,60,8,7,2,2,20-30 year,8.05,573,286,95,8.7,16.8,40,30,30,490.83,river,10km10kmE553N264,NA,Olt,OL,Olt,25.662455,45.789323,c(NaN, NaN)
33,10/9/2021 1:00,Feldioara T,OL21014,NA,Dunărea,Olt,NA,NA,NA,Kelemen Alpár Vándor Csaba,250,10,500,30,170,0,10,0,0,wading,3,NA,5,5,20,65,5,0,0,"Pășune, stâncă","Pășune, stâncă",70,0,5,0,70,0,0,0,30,55,10,5,1,2,NA,NA,NA,NA,NA,NA,NA,18,25,30,NA,river,10km10kmE552N265,ROSCI0329: Oltul Superior,Olt,OL,Olt,25.59166968,45.82751338,c(NaN, NaN)
34,9/5/2018 0:00,Olt 7 Zoltan,OL18001,319,Olt,Olt,NA,680,810,"Nagy András Attila, Kovács Attila",150,14,450,65,140,0,40,1,1,wading,3,NA,7,18,40,29,1,0,5,"willow, alder, floodplain, dike, agricultural land","willow, pasture, agricultural land",20,15,0,0,10,30,5,0,25,45,25,5,3,2,20-30 year,7.97,562,282,103,9.5,17,20,65,55,534.63,river,10km10kmE554N266,NA,Olt,OL,Olt,25.845556,45.922084,c(NaN, NaN)
35,9/5/2018 0:00,Feketeugy also T,OL18003,"320, 321",Olt,Raul Negru,NA,800,NA,"Nagy András Attila, Kelemen Alpár",200,13,600,65,130,0,30,1,1,wading,3,NA,25,65,10,0,0,0,0,"legelő, töltés, mez. ter.","legelő, töltés, mez. ter.",50,50,0,0,40,60,0,0,0,35,60,5,3,2,20-30 year,7.89,570,287,84,7.8,17,16,0,0,502.53,river,10km10kmE554N264,NA,Olt,OL,Olt,25.79315101,45.762347,c(NaN, NaN)
43,10/9/2021 1:00,Covasna T,OL21015,NA,Olt,Râul Negru,NA,NA,NA,"Kelemen Alpár, Vándor Csaba",200,4,400,20,70,0,10,0,0,wading,2,NA,10,20,70,0,0,0,0,"Pășune,tufăriș","Pășune,tufăriș",70,0,0,0,70,0,0,0,0,50,40,10,4,4,10-20 year,NA,NA,NA,NA,NA,NA,7,30,30,NA,river,10km10kmE556N265,ROSCI0374: Râul Negru,Olt,OL,Olt,26.07325494,45.82934499,c(NaN, NaN)
44,9/5/2018 0:00,Feketeugy felso Cofalva T,OL18002,322,Olt,Raul Negru,NA,1090,NA,"Nagy András Attila, Kelemen Alpár",200,9,600,80,130,0,10,0,1,wading,4,NA,20,55,10,0,0,0,15,"legelő, töltés, mez. ter.","legelő, töltés, mez. ter.",50,15,0,0,50,5,0,0,1,55,42,2,3,2,20-30 year,7.54,613,306,87,7.8,17.8,11,35,45,525.03,river,10km10kmE555N265,ROSCI0374: Râul Negru,Olt,OL,Olt,26.02233501,45.838306,c(NaN, NaN)
45,10/9/2021 1:00,Szorcse T,OL21016,NA,Olt,Râul Negru,NA,NA,NA,Kelemen Alpár Vándor Csaba,220,4,600,40,150,0,30,2,0,wading,3,NA,20,60,20,0,0,0,0,Pășune,Pășune,60,35,0,0,60,35,0,0,0,30,60,10,3,1,30-50 year,NA,NA,NA,NA,NA,NA,10,5,5,NA,river,10km10kmE555N266,ROSCI0374: Râul Negru,Olt,OL,Olt,26.06515467,45.87573559,c(NaN, NaN)
50,10/9/2021 1:00,Lemnia T,OL21017,NA,Olt,Râul Negru,NA,NA,NA,"Kelemen Alpár,Vándor Csaba",180,2,300,25,150,0,30,3,0,wading,3,NA,15,80,5,0,0,0,0,tufăriș,teren arabil,38,2,0,0,30,10,0,0,0,20,60,20,3,2,10-20 year,NA,NA,NA,NA,NA,NA,4,60,60,NA,river,10km10kmE556N268,NA,Olt,OL,Olt,26.25607431,46.03794322,c(NaN, NaN)
51,8/8/2021 1:00,Egerhsec T,SI21001,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpár Rafain Almos,150,1,200,30,60,0,60,5,0,wading,3,NA,55,30,15,0,0,0,0,"Fâneață, copaci","Fâneață, copaci",60,20,0,5,80,15,0,0,0,40,50,10,2,1,NA,NA,NA,NA,NA,NA,NA,250,15,5,NA,river,10km10kmE554N271,NA,Siret,SI,NA,26.06411937,46.3052269,c(NaN, NaN)
52,10/15/2021 1:00,Uz 2 T,SI21024,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,2,100,10,25,0,5,0,0,wading,2,NA,10,30,40,20,0,0,0,pasune,pasune cu copaci,70,25,0,0,100,0,0,0,0,50,40,10,2,3,6-10 year,NA,NA,NA,NA,NA,NA,2,5,0,NA,river,10km10kmE555N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.15105647,46.31267696,c(NaN, NaN)
53,10/14/2021 1:00,Uz 8 T,SI21020,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,100,20,150,0,25,0,0,wading,1,NA,0,3,7,50,40,0,0,"zid argilos,padure conifere",padure conifre,30,50,0,0,50,10,30,0,5,65,25,5,5,3,6-10 year,NA,NA,NA,NA,NA,NA,6,20,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.24308172,46.33715441,c(NaN, NaN)
54,10/14/2021 1:00,Uz 7 T,SI21018,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,100,25,100,0,30,0,0,wading,2,NA,2,3,10,55,30,0,0,padure mixta,pasune drum,65,20,0,0,20,70,0,0,25,65,10,0,4,3,6-10 year,NA,NA,NA,NA,NA,NA,7,15,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.23337212,46.3308504,c(NaN, NaN)
55,10/14/2021 1:00,Uz 5T,SI21023,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,2,100,15,50,0,10,0,0,wading,2,NA,0,7,13,60,20,0,0,padure mixta,"drum,stanca,",50,0,50,0,30,50,0,0,15,60,20,5,3,3,6-10 year,NA,NA,NA,NA,NA,NA,6,0,20,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.21852341,46.3149316,c(NaN, NaN)
56,10/14/2021 1:00,Uz 6 T,SI21016,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,100,20,60,0,35,0,0,wading,2,NA,0,5,10,30,55,0,0,drum pasune,padure conifere,10,40,30,0,40,30,10,0,30,60,10,0,4,3,6-10 year,NA,NA,NA,NA,NA,NA,7,20,20,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.22640911,46.31864035,c(NaN, NaN)
57,10/14/2021 1:00,Baska 3 T,SI21017,NA,Trotuș,Baska,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,2,100,20,60,0,30,1,0,wading,2,NA,0,5,10,55,30,0,0,"drum, padure conifere",padure conifere,30,60,5,0,60,25,5,0,15,70,10,5,4,3,6-10 year,NA,NA,NA,NA,NA,NA,3,5,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.22359279,46.31042593,c(NaN, NaN)
58,10/14/2021 1:00,Baska 2 T,SI21021,NA,Trotuș,Baska,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,1.5,100,25,70,0,25,1,0,wading,2,NA,0,5,10,55,30,0,0,padure conifere,drum padure conifere,50,40,10,0,20,65,10,0,10,70,15,5,4,3,6-10 year,NA,NA,NA,NA,NA,NA,3,0,5,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.22226241,46.30051659,c(NaN, NaN)
59,10/14/2021 1:00,Baska 1 T,SI21014,NA,Trotuș,Baska,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,2,100,20,80,0,20,0,0,wading,1,NA,0,5,10,55,30,0,0,"padure conifere, drum",padure conifere,25,65,5,0,50,30,10,0,0,65,30,5,NA,2,NA,NA,NA,NA,NA,NA,NA,4,5,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.2243599,46.29202885,c(NaN, NaN)
60,10/15/2021 1:00,Uz 4 T,SI21027,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,4,100,25,70,0,20,0,0,wading,2,NA,0,7,13,40,40,0,0,"stanca, drum niste copaci",padure mixta stanca,30,50,10,0,50,10,35,0,5,75,18,2,3,3,6-10 year,NA,NA,NA,NA,NA,NA,7,10,5,NA,river,10km10kmE555N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.19964603,46.31098545,c(NaN, NaN)
61,10/15/2021 1:00,Uz 3 T,SI21025,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,100,15,50,0,20,0,0,wading,2,NA,0,2,8,70,20,0,0,drum stanca nici un copac,"padure mixta, anni",30,45,5,0,80,0,20,0,0,80,15,5,3,3,6-10 year,NA,NA,NA,NA,NA,NA,7,20,0,NA,river,10km10kmE555N271,NA,Siret,SI,NA,26.18295866,46.31170615,c(NaN, NaN)
62,9/15/2021 1:00,Uz 1 T,SI21012,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,100,15,50,0,30,0,0,wading,2,NA,2,3,15,60,20,0,0,padure mixta anin,padure mixta anin pasune,40,40,0,0,30,50,0,0,0,80,17,3,3,1,NA,NA,NA,NA,NA,NA,NA,7,20,20,NA,river,10km10kmE555N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.13733429,46.31178026,c(NaN, NaN)
63,10/15/2021 1:00,Veresviz 1T,SI21031,NA,Trotuș,Barzauta,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,7,100,20,100,0,25,1,0,wading,3,NA,0,3,7,50,40,0,0,padure mixta,padure mixta,15,70,5,0,20,70,0,0,25,65,7,3,4,2,6-10 year,NA,NA,NA,NA,NA,NA,12,10,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.2745333,46.28973805,c(NaN, NaN)
64,10/15/2021 1:00,Veresviz 3 T,SI21028,NA,Trotuș,Barzauta,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,5,100,30,90,0,35,1,0,wading,2,NA,0,3,7,30,60,0,0,"padure mixta,stanca","padure mixta,stanca",10,40,40,0,10,40,40,0,40,50,10,0,3,3,6-10 year,NA,NA,NA,NA,NA,NA,8,10,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.27828303,46.30411143,c(NaN, NaN)
65,10/15/2021 1:00,Veresviz 2 T,SI21030,NA,Trotuș,Barzauta,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,25,100,25,120,0,10,0,0,wading,2,NA,0,3,7,40,50,0,0,padure mixta,"padure mixta,drum",55,35,0,0,30,60,0,0,20,70,7,3,3,2,6-10 year,NA,NA,NA,NA,NA,NA,1.2,10,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.27616945,46.29840404,c(NaN, NaN)
66,10/14/2021 1:00,Uz 11 T,SI21019,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,150,15,50,0,20,0,0,wading,1,NA,0,5,10,85,0,0,0,padure mixta drum,padure mixta drum iarba,40,50,0,0,50,40,0,0,0,60,30,10,3,3,6-10 year,NA,NA,NA,NA,NA,NA,5,10,10,NA,river,10km10kmE556N271,NA,Siret,SI,NA,26.2874991,46.33798773,c(NaN, NaN)
67,10/15/2021 1:00,Veresviz 5 T,SI21026,NA,Trotuș,Barzauta,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,4,100,40,150,0,40,0,0,wading,3,NA,0,3,7,30,60,0,0,"padure mixta, stanca","padure mixta, stanca,drum",30,30,30,0,20,40,40,0,40,50,10,0,3,3,6-10 year,NA,NA,NA,NA,NA,NA,9,10,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.28929082,46.32909834,c(NaN, NaN)
69,10/15/2021 1:00,Veresviz 4 T,SI21029,NA,Trotuș,Barzauta,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,4,100,30,80,0,25,0,0,wading,2,NA,0,4,16,45,35,0,0,padure mixta,"padure mixta,drum",30,40,10,0,20,50,10,0,20,65,15,0,4,3,6-10 year,NA,NA,NA,NA,NA,NA,8,20,20,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.28298226,46.3171843,c(NaN, NaN)
70,10/14/2021 1:00,Uz 10 T,SI21013,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,3,100,20,100,0,25,0,0,wading,2,NA,3,5,17,50,25,0,NA,"padure conifere, pasune",padure mixta,20,50,0,0,50,20,0,0,0,75,20,5,2,3,6-10 year,NA,NA,NA,NA,NA,NA,6,30,30,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.26548353,46.34293553,c(NaN, NaN)
71,10/14/2021 1:00,Uz 9 T,SI21015,NA,Trotuș,Uz,NA,NA,NA,Kelemen Alpar Gyorgy Leonard,100,2,100,15,50,0,25,0,0,wading,1,NA,0,5,10,75,10,0,0,pasune,"pasune, conifere",10,70,0,0,80,10,0,0,0,75,20,5,3,3,6-10 year,NA,NA,NA,NA,NA,NA,6,20,10,NA,river,10km10kmE556N271,ROSCI0327: Nemira - Lapoș,Siret,SI,NA,26.25179354,46.34062463,c(NaN, NaN)
73,7/31/2014 0:00,Maros Ciobotani,MU14047,NA,Maros,Mures,NA,NA,NA,"Nagy András Attila, Imecs István ",220,20,660,70,150,NA,NA,NA,NA,wading,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,628.66,river,10km10kmE547N276,NA,Mureş,MU,Maros,25.25695001,46.95143,c(NaN, NaN)
